expression,level,expected
-2,3,-2
-2,4,-2
-2,5,-2
-2,6,-2
-2,7,-2
-2,8,-2
-2,9,-2
-2,10,-2
-2,11,-2
-2,12,-2
-2,13,-2
-2,14,-2
-2,15,-2
-2,16,-2
-2,17,-2
-2,18,-2
-2,19,-2
-2,20,-2
-2*x,1,-2
-2*x,2,-4
-2*x,3,-6
-2*x,4,-8
-2*x,5,-10
-2*x,6,-12
-2*x,7,-14
-2*x,8,-16
-2*x,9,-18
-2*x,10,-20
-2*x,11,-22
-2*x,12,-24
-2*x,13,-26
-2*x,14,-28
-2*x,15,-30
-2*x,16,-32
-2*x,17,-34
-2*x,18,-36
-2*x,19,-38
-2*x,20,-40
-2*x,21,-42
-2*x,22,-44
-2*x,23,-46
-2*x,24,-48
-2*x,25,-50
-2*x,26,-52
-2*x,27,-54
-2*x,28,-56
-2*x,29,-58
-2*x,30,-60
-20+x,1,-19
-20+x,2,-18
-20+x,3,-17
-20+x,4,-16
-20+x,5,-15
-20+x,6,-14
-20+x,7,-13
-20+x,8,-12
-20+x,9,-11
-20+x,10,-10
-20+x,11,-9
-20+x,12,-8
-20+x,13,-7
-20+x,14,-6
-20+x,15,-5
-20+x,16,-4
-20+x,17,-3
-20+x,18,-2
-20+x,19,-1
-20+x,20,0
-20-2*x,1,-22
-20-2*x,2,-24
-20-2*x,3,-26
-20-2*x,4,-28
-20-2*x,5,-30
-20-2*x,6,-32
-20-2*x,7,-34
-20-2*x,8,-36
-20-2*x,9,-38
-20-2*x,10,-40
-20-x,1,-21
-20-x,2,-22
-20-x,3,-23
-20-x,4,-24
-20-x,5,-25
-20-x,6,-26
-20-x,7,-27
-20-x,8,-28
-20-x,9,-29
-20-x,10,-30
-20-x,11,-31
-20-x,12,-32
-20-x,13,-33
-20-x,14,-34
-20-x,15,-35
-20-x,16,-36
-20-x,17,-37
-20-x,18,-38
-20-x,19,-39
-20-x,20,-40
-30+3*x,1,-27
-30+3*x,2,-24
-30+3*x,3,-21
-30+3*x,4,-18
-30+3*x,5,-15
-30+3*x,6,-12
-30+3*x,7,-9
-30+3*x,8,-6
-30+3*x,9,-3
-30+3*x,10,0
-4*x,1,-4
-4*x,2,-8
-4*x,3,-12
-4*x,4,-16
-4*x,5,-20
-4*x,6,-24
-4*x,7,-28
-4*x,8,-32
-4*x,9,-36
-4*x,10,-40
-4*x,11,-44
-4*x,12,-48
-4*x,13,-52
-4*x,14,-56
-4*x,15,-60
-4*x,16,-64
-4*x,17,-68
-4*x,18,-72
-4*x,19,-76
-4*x,20,-80
-x,1,-1
-x,2,-2
-x,3,-3
-x,4,-4
-x,5,-5
-x,6,-6
-x,7,-7
-x,8,-8
-x,9,-9
-x,10,-10
-x,11,-11
-x,12,-12
-x,13,-13
-x,14,-14
-x,15,-15
-x,16,-16
-x,17,-17
-x,18,-18
-x,19,-19
-x,20,-20
-x,21,-21
-x,22,-22
-x,23,-23
-x,24,-24
-x,25,-25
-x,26,-26
-x,27,-27
-x,28,-28
-x,29,-29
-x,30,-30
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0.5*x,1,0
0.5*x,2,1
0.5*x,3,1
0.5*x,4,2
0.5*x,5,2
0.5*x,6,3
0.5*x,7,3
0.5*x,8,4
0.5*x,9,4
0.5*x,10,5
0.5*x,11,5
0.5*x,12,6
0.5*x,13,6
0.5*x,14,7
0.5*x,15,7
0.5*x,16,8
0.5*x,17,8
0.5*x,18,9
0.5*x,19,9
0.5*x,20,10
0.5*x,21,10
0.5*x,22,11
0.5*x,23,11
0.5*x,24,12
0.5*x,25,12
0.5*x,26,13
0.5*x,27,13
0.5*x,28,14
0.5*x,29,14
0.5*x,30,15
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,29,1
1,30,1
1+1*u(x/10),1,2
1+1*u(x/10),2,2
1+1*u(x/10),3,2
1+1*u(x/10),4,2
1+1*u(x/10),5,2
1+1*u(x/10),6,2
1+1*u(x/10),7,2
1+1*u(x/10),8,2
1+1*u(x/10),9,2
1+1*u(x/10),10,2
1+1*u(x/10),11,3
1+1*u(x/10),12,3
1+1*u(x/10),13,3
1+1*u(x/10),14,3
1+1*u(x/10),15,3
1+1*u(x/10),16,3
1+1*u(x/10),17,3
1+1*u(x/10),18,3
1+1*u(x/10),19,3
1+1*u(x/10),20,3
1+7*u(x/10),1,8
1+7*u(x/10),2,8
1+7*u(x/10),3,8
1+7*u(x/10),4,8
1+7*u(x/10),5,8
1+7*u(x/10),6,8
1+7*u(x/10),7,8
1+7*u(x/10),8,8
1+7*u(x/10),9,8
1+7*u(x/10),10,8
1+7*u(x/10),11,15
1+7*u(x/10),12,15
1+7*u(x/10),13,15
1+7*u(x/10),14,15
1+7*u(x/10),15,15
1+7*u(x/10),16,15
1+7*u(x/10),17,15
1+7*u(x/10),18,15
1+7*u(x/10),19,15
1+7*u(x/10),20,15
1+d(x/10),1,1
1+d(x/10),2,1
1+d(x/10),3,1
1+d(x/10),4,1
1+d(x/10),5,1
1+d(x/10),6,1
1+d(x/10),7,1
1+d(x/10),8,1
1+d(x/10),9,1
1+d(x/10),10,2
1+d(x/10),11,2
1+d(x/10),12,2
1+d(x/10),13,2
1+d(x/10),14,2
1+d(x/10),15,2
1+d(x/10),16,2
1+d(x/10),17,2
1+d(x/10),18,2
1+d(x/10),19,2
1+d(x/10),20,3
1+d(x/10),21,3
1+d(x/10),22,3
1+d(x/10),23,3
1+d(x/10),24,3
1+d(x/10),25,3
1+d(x/10),26,3
1+d(x/10),27,3
1+d(x/10),28,3
1+d(x/10),29,3
1+d(x/10),30,4
1+d(x/11),1,1
1+d(x/11),2,1
1+d(x/11),3,1
1+d(x/11),4,1
1+d(x/11),5,1
1+d(x/11),6,1
1+d(x/11),7,1
1+d(x/11),8,1
1+d(x/11),9,1
1+d(x/11),10,1
1+d(x/11),11,2
1+d(x/11),12,2
1+d(x/11),13,2
1+d(x/11),14,2
1+d(x/11),15,2
1+d(x/11),16,2
1+d(x/11),17,2
1+d(x/11),18,2
1+d(x/11),19,2
1+d(x/11),20,2
1+d(x/5),1,1
1+d(x/5),2,1
1+d(x/5),3,1
1+d(x/5),4,1
1+d(x/5),5,2
1+d(x/5),6,2
1+d(x/5),7,2
1+d(x/5),8,2
1+d(x/5),9,2
1+d(x/5),10,3
1+d(x/5),11,3
1+d(x/5),12,3
1+d(x/5),13,3
1+d(x/5),14,3
1+d(x/5),15,4
1+d(x/5),16,4
1+d(x/5),17,4
1+d(x/5),18,4
1+d(x/5),19,4
1+d(x/5),20,5
1+u(x/10),1,2
1+u(x/10),2,2
1+u(x/10),3,2
1+u(x/10),4,2
1+u(x/10),5,2
1+u(x/10),6,2
1+u(x/10),7,2
1+u(x/10),8,2
1+u(x/10),9,2
1+u(x/10),10,2
1+u(x/10),11,3
1+u(x/10),12,3
1+u(x/10),13,3
1+u(x/10),14,3
1+u(x/10),15,3
1+u(x/10),16,3
1+u(x/10),17,3
1+u(x/10),18,3
1+u(x/10),19,3
1+u(x/10),20,3
1+u(x/10),21,4
1+u(x/10),22,4
1+u(x/10),23,4
1+u(x/10),24,4
1+u(x/10),25,4
1+u(x/10),26,4
1+u(x/10),27,4
1+u(x/10),28,4
1+u(x/10),29,4
1+u(x/10),30,4
1+u(x/2),1,2
1+u(x/2),2,2
1+u(x/2),3,3
1+u(x/2),4,3
1+u(x/2),5,4
1+u(x/2),6,4
1+u(x/2),7,5
1+u(x/2),8,5
1+u(x/2),9,6
1+u(x/2),10,6
1+u(x/5),1,2
1+u(x/5),2,2
1+u(x/5),3,2
1+u(x/5),4,2
1+u(x/5),5,2
1+u(x/5),6,3
1+u(x/5),7,3
1+u(x/5),8,3
1+u(x/5),9,3
1+u(x/5),10,3
1+u(x/5),11,4
1+u(x/5),12,4
1+u(x/5),13,4
1+u(x/5),14,4
1+u(x/5),15,4
1+u(x/5),16,5
1+u(x/5),17,5
1+u(x/5),18,5
1+u(x/5),19,5
1+u(x/5),20,5
1+u(x/6),1,2
1+u(x/6),2,2
1+u(x/6),3,2
1+u(x/6),4,2
1+u(x/6),5,2
1+u(x/6),6,2
1+u(x/6),7,3
1+u(x/6),8,3
1+u(x/6),9,3
1+u(x/6),10,3
1+u(x/6),11,3
1+u(x/6),12,3
1+u(x/6),13,4
1+u(x/6),14,4
1+u(x/6),15,4
1+u(x/6),16,4
1+u(x/6),17,4
1+u(x/6),18,4
1+u(x/6),19,5
1+u(x/6),20,5
1+u(x/6),21,5
1+u(x/6),22,5
1+u(x/6),23,5
1+u(x/6),24,5
1+u(x/6),25,6
1+u(x/6),26,6
1+u(x/6),27,6
1+u(x/6),28,6
1+u(x/6),29,6
1+u(x/6),30,6
1+u(x/7),1,2
1+u(x/7),2,2
1+u(x/7),3,2
1+u(x/7),4,2
1+u(x/7),5,2
1+u(x/7),6,2
1+u(x/7),7,2
1+u(x/7),8,3
1+u(x/7),9,3
1+u(x/7),10,3
1+u(x/7),11,3
1+u(x/7),12,3
1+u(x/7),13,3
1+u(x/7),14,3
1+u(x/7),15,4
1+u(x/7),16,4
1+u(x/7),17,4
1+u(x/7),18,4
1+u(x/7),19,4
1+u(x/7),20,4
1+u(x/7),21,4
1+u(x/7),22,5
1+u(x/7),23,5
1+u(x/7),24,5
1+u(x/7),25,5
1+u(x/7),26,5
1+u(x/7),27,5
1+u(x/7),28,5
1+u(x/7),29,6
1+u(x/7),30,6
1+u(x/8),1,2
1+u(x/8),2,2
1+u(x/8),3,2
1+u(x/8),4,2
1+u(x/8),5,2
1+u(x/8),6,2
1+u(x/8),7,2
1+u(x/8),8,2
1+u(x/8),9,3
1+u(x/8),10,3
1+u(x/8),11,3
1+u(x/8),12,3
1+u(x/8),13,3
1+u(x/8),14,3
1+u(x/8),15,3
1+u(x/8),16,3
1+u(x/8),17,4
1+u(x/8),18,4
1+u(x/8),19,4
1+u(x/8),20,4
10,1,10
10,2,10
10,3,10
10,4,10
10,5,10
10,6,10
10,7,10
10,8,10
10,9,10
10,10,10
10,11,10
10,12,10
10,13,10
10,14,10
10,15,10
10,16,10
10,17,10
10,18,10
10,19,10
10,20,10
10,21,10
10,22,10
10,23,10
10,24,10
10,25,10
10,26,10
10,27,10
10,28,10
10,29,10
10,30,10
10*u(x/2),1,10
10*u(x/2),2,10
10*u(x/2),3,20
10*u(x/2),4,20
10*u(x/2),5,30
10*u(x/2),6,30
10*u(x/2),7,40
10*u(x/2),8,40
10*u(x/2),9,50
10*u(x/2),10,50
10*u(x/2),11,60
10*u(x/2),12,60
10*u(x/2),13,70
10*u(x/2),14,70
10*u(x/2),15,80
10*u(x/2),16,80
10*u(x/2),17,90
10*u(x/2),18,90
10*u(x/2),19,100
10*u(x/2),20,100
10*u(x/5),1,10
10*u(x/5),2,10
10*u(x/5),3,10
10*u(x/5),4,10
10*u(x/5),5,10
10*u(x/5),6,20
10*u(x/5),7,20
10*u(x/5),8,20
10*u(x/5),9,20
10*u(x/5),10,20
10*u(x/5),11,30
10*u(x/5),12,30
10*u(x/5),13,30
10*u(x/5),14,30
10*u(x/5),15,30
10*u(x/5),16,40
10*u(x/5),17,40
10*u(x/5),18,40
10*u(x/5),19,40
10*u(x/5),20,40
10*u(x/5),21,50
10*u(x/5),22,50
10*u(x/5),23,50
10*u(x/5),24,50
10*u(x/5),25,50
10*u(x/5),26,60
10*u(x/5),27,60
10*u(x/5),28,60
10*u(x/5),29,60
10*u(x/5),30,60
10*x,1,10
10*x,2,20
10*x,3,30
10*x,4,40
10*x,5,50
10*x,6,60
10*x,7,70
10*x,8,80
10*x,9,90
10*x,10,100
10*x,11,110
10*x,12,120
10*x,13,130
10*x,14,140
10*x,15,150
10*x,16,160
10*x,17,170
10*x,18,180
10*x,19,190
10*x,20,200
10*x,21,210
10*x,22,220
10*x,23,230
10*x,24,240
10*x,25,250
10*x,26,260
10*x,27,270
10*x,28,280
10*x,29,290
10*x,30,300
10+10*d(x/5),1,10
10+10*d(x/5),2,10
10+10*d(x/5),3,10
10+10*d(x/5),4,10
10+10*d(x/5),5,20
10+10*d(x/5),6,20
10+10*d(x/5),7,20
10+10*d(x/5),8,20
10+10*d(x/5),9,20
10+10*d(x/5),10,30
10+10*d(x/5),11,30
10+10*d(x/5),12,30
10+10*d(x/5),13,30
10+10*d(x/5),14,30
10+10*d(x/5),15,40
10+10*d(x/5),16,40
10+10*d(x/5),17,40
10+10*d(x/5),18,40
10+10*d(x/5),19,40
10+10*d(x/5),20,50
10+10*d(x/5),21,50
10+10*d(x/5),22,50
10+10*d(x/5),23,50
10+10*d(x/5),24,50
10+10*d(x/5),25,60
10+10*d(x/5),26,60
10+10*d(x/5),27,60
10+10*d(x/5),28,60
10+10*d(x/5),29,60
10+10*d(x/5),30,70
10+10*u(x/4),1,20
10+10*u(x/4),2,20
10+10*u(x/4),3,20
10+10*u(x/4),4,20
10+10*u(x/4),5,30
10+10*u(x/4),6,30
10+10*u(x/4),7,30
10+10*u(x/4),8,30
10+10*u(x/4),9,40
10+10*u(x/4),10,40
10+2*d(x/3),1,10
10+2*d(x/3),2,10
10+2*d(x/3),3,12
10+2*d(x/3),4,12
10+2*d(x/3),5,12
10+2*d(x/3),6,14
10+2*d(x/3),7,14
10+2*d(x/3),8,14
10+2*d(x/3),9,16
10+2*d(x/3),10,16
10+2*d(x/3),11,16
10+2*d(x/3),12,18
10+2*d(x/3),13,18
10+2*d(x/3),14,18
10+2*d(x/3),15,20
10+2*d(x/3),16,20
10+2*d(x/3),17,20
10+2*d(x/3),18,22
10+2*d(x/3),19,22
10+2*d(x/3),20,22
10+2*d(x/3),21,24
10+2*d(x/3),22,24
10+2*d(x/3),23,24
10+2*d(x/3),24,26
10+2*d(x/3),25,26
10+2*d(x/3),26,26
10+2*d(x/3),27,28
10+2*d(x/3),28,28
10+2*d(x/3),29,28
10+2*d(x/3),30,30
10+2*d(x/4),1,10
10+2*d(x/4),2,10
10+2*d(x/4),3,10
10+2*d(x/4),4,12
10+2*d(x/4),5,12
10+2*d(x/4),6,12
10+2*d(x/4),7,12
10+2*d(x/4),8,14
10+2*d(x/4),9,14
10+2*d(x/4),10,14
10+2*d(x/4),11,14
10+2*d(x/4),12,16
10+2*d(x/4),13,16
10+2*d(x/4),14,16
10+2*d(x/4),15,16
10+2*d(x/4),16,18
10+2*d(x/4),17,18
10+2*d(x/4),18,18
10+2*d(x/4),19,18
10+2*d(x/4),20,20
10+2*d(x/5),1,10
10+2*d(x/5),2,10
10+2*d(x/5),3,10
10+2*d(x/5),4,10
10+2*d(x/5),5,12
10+2*d(x/5),6,12
10+2*d(x/5),7,12
10+2*d(x/5),8,12
10+2*d(x/5),9,12
10+2*d(x/5),10,14
10+2*d(x/5),11,14
10+2*d(x/5),12,14
10+2*d(x/5),13,14
10+2*d(x/5),14,14
10+2*d(x/5),15,16
10+2*d(x/5),16,16
10+2*d(x/5),17,16
10+2*d(x/5),18,16
10+2*d(x/5),19,16
10+2*d(x/5),20,18
10+2*d(x/5),21,18
10+2*d(x/5),22,18
10+2*d(x/5),23,18
10+2*d(x/5),24,18
10+2*d(x/5),25,20
10+2*d(x/5),26,20
10+2*d(x/5),27,20
10+2*d(x/5),28,20
10+2*d(x/5),29,20
10+2*d(x/5),30,22
10+2*d(x/6),1,10
10+2*d(x/6),2,10
10+2*d(x/6),3,10
10+2*d(x/6),4,10
10+2*d(x/6),5,10
10+2*d(x/6),6,12
10+2*d(x/6),7,12
10+2*d(x/6),8,12
10+2*d(x/6),9,12
10+2*d(x/6),10,12
10+2*d(x/6),11,12
10+2*d(x/6),12,14
10+2*d(x/6),13,14
10+2*d(x/6),14,14
10+2*d(x/6),15,14
10+2*d(x/6),16,14
10+2*d(x/6),17,14
10+2*d(x/6),18,16
10+2*d(x/6),19,16
10+2*d(x/6),20,16
10+2*d(x/6),21,16
10+2*d(x/6),22,16
10+2*d(x/6),23,16
10+2*d(x/6),24,18
10+2*d(x/6),25,18
10+2*d(x/6),26,18
10+2*d(x/6),27,18
10+2*d(x/6),28,18
10+2*d(x/6),29,18
10+2*d(x/6),30,20
10+2*u(x/2),1,12
10+2*u(x/2),2,12
10+2*u(x/2),3,14
10+2*u(x/2),4,14
10+2*u(x/2),5,16
10+2*u(x/2),6,16
10+2*u(x/2),7,18
10+2*u(x/2),8,18
10+2*u(x/2),9,20
10+2*u(x/2),10,20
10+2*u(x/2),11,22
10+2*u(x/2),12,22
10+2*u(x/2),13,24
10+2*u(x/2),14,24
10+2*u(x/2),15,26
10+2*u(x/2),16,26
10+2*u(x/2),17,28
10+2*u(x/2),18,28
10+2*u(x/2),19,30
10+2*u(x/2),20,30
10+2*u(x/3),1,12
10+2*u(x/3),2,12
10+2*u(x/3),3,12
10+2*u(x/3),4,14
10+2*u(x/3),5,14
10+2*u(x/3),6,14
10+2*u(x/3),7,16
10+2*u(x/3),8,16
10+2*u(x/3),9,16
10+2*u(x/3),10,18
10+2*u(x/3),11,18
10+2*u(x/3),12,18
10+2*u(x/3),13,20
10+2*u(x/3),14,20
10+2*u(x/3),15,20
10+2*u(x/3),16,22
10+2*u(x/3),17,22
10+2*u(x/3),18,22
10+2*u(x/3),19,24
10+2*u(x/3),20,24
10+2*u(x/3),21,24
10+2*u(x/3),22,26
10+2*u(x/3),23,26
10+2*u(x/3),24,26
10+2*u(x/3),25,28
10+2*u(x/3),26,28
10+2*u(x/3),27,28
10+2*u(x/3),28,30
10+2*u(x/3),29,30
10+2*u(x/3),30,30
10+2*u(x/5),1,12
10+2*u(x/5),2,12
10+2*u(x/5),3,12
10+2*u(x/5),4,12
10+2*u(x/5),5,12
10+2*u(x/5),6,14
10+2*u(x/5),7,14
10+2*u(x/5),8,14
10+2*u(x/5),9,14
10+2*u(x/5),10,14
10+2*u(x/5),11,16
10+2*u(x/5),12,16
10+2*u(x/5),13,16
10+2*u(x/5),14,16
10+2*u(x/5),15,16
10+2*u(x/5),16,18
10+2*u(x/5),17,18
10+2*u(x/5),18,18
10+2*u(x/5),19,18
10+2*u(x/5),20,18
10+2*x,1,12
10+2*x,2,14
10+2*x,3,16
10+2*x,4,18
10+2*x,5,20
10+2*x,6,22
10+2*x,7,24
10+2*x,8,26
10+2*x,9,28
10+2*x,10,30
10+2*x,11,32
10+2*x,12,34
10+2*x,13,36
10+2*x,14,38
10+2*x,15,40
10+2*x,16,42
10+2*x,17,44
10+2*x,18,46
10+2*x,19,48
10+2*x,20,50
10+2*x,21,52
10+2*x,22,54
10+2*x,23,56
10+2*x,24,58
10+2*x,25,60
10+2*x,26,62
10+2*x,27,64
10+2*x,28,66
10+2*x,29,68
10+2*x,30,70
10+3*x,1,13
10+3*x,2,16
10+3*x,3,19
10+3*x,4,22
10+3*x,5,25
10+3*x,6,28
10+3*x,7,31
10+3*x,8,34
10+3*x,9,37
10+3*x,10,40
10+3*x,11,43
10+3*x,12,46
10+3*x,13,49
10+3*x,14,52
10+3*x,15,55
10+3*x,16,58
10+3*x,17,61
10+3*x,18,64
10+3*x,19,67
10+3*x,20,70
10+4*x,1,14
10+4*x,2,18
10+4*x,3,22
10+4*x,4,26
10+4*x,5,30
10+4*x,6,34
10+4*x,7,38
10+4*x,8,42
10+4*x,9,46
10+4*x,10,50
10+4*x,11,54
10+4*x,12,58
10+4*x,13,62
10+4*x,14,66
10+4*x,15,70
10+4*x,16,74
10+4*x,17,78
10+4*x,18,82
10+4*x,19,86
10+4*x,20,90
10+5*d(x/11),1,10
10+5*d(x/11),2,10
10+5*d(x/11),3,10
10+5*d(x/11),4,10
10+5*d(x/11),5,10
10+5*d(x/11),6,10
10+5*d(x/11),7,10
10+5*d(x/11),8,10
10+5*d(x/11),9,10
10+5*d(x/11),10,10
10+5*d(x/11),11,15
10+5*d(x/11),12,15
10+5*d(x/11),13,15
10+5*d(x/11),14,15
10+5*d(x/11),15,15
10+5*d(x/11),16,15
10+5*d(x/11),17,15
10+5*d(x/11),18,15
10+5*d(x/11),19,15
10+5*d(x/11),20,15
10+5*d(x/2),1,10
10+5*d(x/2),2,15
10+5*d(x/2),3,15
10+5*d(x/2),4,20
10+5*d(x/2),5,20
10+5*d(x/2),6,25
10+5*d(x/2),7,25
10+5*d(x/2),8,30
10+5*d(x/2),9,30
10+5*d(x/2),10,35
10+5*d(x/2),11,35
10+5*d(x/2),12,40
10+5*d(x/2),13,40
10+5*d(x/2),14,45
10+5*d(x/2),15,45
10+5*d(x/2),16,50
10+5*d(x/2),17,50
10+5*d(x/2),18,55
10+5*d(x/2),19,55
10+5*d(x/2),20,60
10+5*u(x/10),1,15
10+5*u(x/10),2,15
10+5*u(x/10),3,15
10+5*u(x/10),4,15
10+5*u(x/10),5,15
10+5*u(x/10),6,15
10+5*u(x/10),7,15
10+5*u(x/10),8,15
10+5*u(x/10),9,15
10+5*u(x/10),10,15
10+5*u(x/5),1,15
10+5*u(x/5),2,15
10+5*u(x/5),3,15
10+5*u(x/5),4,15
10+5*u(x/5),5,15
10+5*u(x/5),6,20
10+5*u(x/5),7,20
10+5*u(x/5),8,20
10+5*u(x/5),9,20
10+5*u(x/5),10,20
10+5*u(x/5),11,25
10+5*u(x/5),12,25
10+5*u(x/5),13,25
10+5*u(x/5),14,25
10+5*u(x/5),15,25
10+5*u(x/5),16,30
10+5*u(x/5),17,30
10+5*u(x/5),18,30
10+5*u(x/5),19,30
10+5*u(x/5),20,30
10+5*u(x/6),1,15
10+5*u(x/6),2,15
10+5*u(x/6),3,15
10+5*u(x/6),4,15
10+5*u(x/6),5,15
10+5*u(x/6),6,15
10+5*u(x/6),7,20
10+5*u(x/6),8,20
10+5*u(x/6),9,20
10+5*u(x/6),10,20
10+5*u(x/6),11,20
10+5*u(x/6),12,20
10+5*u(x/6),13,25
10+5*u(x/6),14,25
10+5*u(x/6),15,25
10+5*u(x/6),16,25
10+5*u(x/6),17,25
10+5*u(x/6),18,25
10+5*u(x/6),19,30
10+5*u(x/6),20,30
10+5*u(x/6),21,30
10+5*u(x/6),22,30
10+5*u(x/6),23,30
10+5*u(x/6),24,30
10+5*u(x/6),25,35
10+5*u(x/6),26,35
10+5*u(x/6),27,35
10+5*u(x/6),28,35
10+5*u(x/6),29,35
10+5*u(x/6),30,35
10+5*x,1,15
10+5*x,2,20
10+5*x,3,25
10+5*x,4,30
10+5*x,5,35
10+5*x,6,40
10+5*x,7,45
10+5*x,8,50
10+5*x,9,55
10+5*x,10,60
10+5*x,11,65
10+5*x,12,70
10+5*x,13,75
10+5*x,14,80
10+5*x,15,85
10+5*x,16,90
10+5*x,17,95
10+5*x,18,100
10+5*x,19,105
10+5*x,20,110
10+5*x,21,115
10+5*x,22,120
10+5*x,23,125
10+5*x,24,130
10+5*x,25,135
10+5*x,26,140
10+5*x,27,145
10+5*x,28,150
10+5*x,29,155
10+5*x,30,160
10+6*x,1,16
10+6*x,2,22
10+6*x,3,28
10+6*x,4,34
10+6*x,5,40
10+6*x,6,46
10+6*x,7,52
10+6*x,8,58
10+6*x,9,64
10+6*x,10,70
10+6*x,11,76
10+6*x,12,82
10+6*x,13,88
10+6*x,14,94
10+6*x,15,100
10+6*x,16,106
10+6*x,17,112
10+6*x,18,118
10+6*x,19,124
10+6*x,20,130
10+7*x,1,17
10+7*x,2,24
10+7*x,3,31
10+7*x,4,38
10+7*x,5,45
10+7*x,6,52
10+7*x,7,59
10+7*x,8,66
10+7*x,9,73
10+7*x,10,80
10+8*d(x/15),1,10
10+8*d(x/15),2,10
10+8*d(x/15),3,10
10+8*d(x/15),4,10
10+8*d(x/15),5,10
10+8*d(x/15),6,10
10+8*d(x/15),7,10
10+8*d(x/15),8,10
10+8*d(x/15),9,10
10+8*d(x/15),10,10
10+8*d(x/15),11,10
10+8*d(x/15),12,10
10+8*d(x/15),13,10
10+8*d(x/15),14,10
10+8*d(x/15),15,18
10+8*d(x/15),16,18
10+8*d(x/15),17,18
10+8*d(x/15),18,18
10+8*d(x/15),19,18
10+8*d(x/15),20,18
10+8*d(x/15),21,18
10+8*d(x/15),22,18
10+8*d(x/15),23,18
10+8*d(x/15),24,18
10+8*d(x/15),25,18
10+8*d(x/15),26,18
10+8*d(x/15),27,18
10+8*d(x/15),28,18
10+8*d(x/15),29,18
10+8*d(x/15),30,26
10+8*d(x/5),1,10
10+8*d(x/5),2,10
10+8*d(x/5),3,10
10+8*d(x/5),4,10
10+8*d(x/5),5,18
10+8*d(x/5),6,18
10+8*d(x/5),7,18
10+8*d(x/5),8,18
10+8*d(x/5),9,18
10+8*d(x/5),10,26
10+8*d(x/5),11,26
10+8*d(x/5),12,26
10+8*d(x/5),13,26
10+8*d(x/5),14,26
10+8*d(x/5),15,34
10+8*d(x/5),16,34
10+8*d(x/5),17,34
