region,major,minor,domain,wireId,identityName,evidence
gms,48,1,skill,5101004,SuperGmHide,WZ atlas-data GET /api/data/skills/{id} tenant=e1f06ae2-80c1-47f7-bb6f-38a9f50d23dd region=GMS major=48 minor=1: 5101004='Hide' (bound under job 510=SuperGM)
gms,61,1,skill,5101004,BrawlerCorkscrewBlow (unreleased),WZ atlas-data GET /api/data/skills/{id} tenant=0d250dc9-64c4-45ae-8bc2-fc0a9cdb5578 region=GMS major=61 minor=1: 5101004='스크류 펀치/Screw Punch' (bound under job 510=Brawler-stub)
gms,72,1,skill,5101004,BrawlerCorkscrewBlow,WZ atlas-data GET /api/data/skills/{id} tenant=48d415ca-59de-4953-9aed-0c4156a09bc9 region=GMS major=72 minor=1: 5101004='Corkscrew Blow' (bound under job 510=Brawler)
gms,72,1,job,1000,Cygnus Noblesse (unreleased WZ stub),"WZ atlas-data GET /api/data/skills/{id} tenant=48d415ca-59de-4953-9aed-0c4156a09bc9 region=GMS major=72 minor=1: 10001000='달팽이 세마리/Three Snails' (untranslated Korean; meymink v0.73 'Cygnus Knights Class' not yet reached; absent entirely at v61 (44 jobs, no 1000+ series))"
gms,83,1,job,1000,Cygnus Noblesse,WZ atlas-data GET /api/data/skills/{id} tenant=ec876921-c363-4cc6-9c51-5bb8d57f9553 region=GMS major=83 minor=1: 10001000='Three Snails'
gms,79,1,job,2000,Aran (unreleased WZ stub),WZ atlas-data GET /api/data/skills/{id} tenant=92adbe47-5ada-4f3b-8224-f58c80a4a2d5 region=GMS major=79 minor=1: 20001000='달팽이 세마리/Three Snails'; 20001001='회복/Recovery' (untranslated Korean; meymink v0.79 'Pre Aran Quests')
gms,83,1,job,2000,Aran,WZ atlas-data GET /api/data/skills/{id} tenant=ec876921-c363-4cc6-9c51-5bb8d57f9553 region=GMS major=83 minor=1: 20001000='Three Snails'; 20001001='Recovery'; 20001002='Agile Body'; 20001003='Legendary Spirit'; 20001004='Monster Rider'
gms,84,1,job,2001,Evan (new; no wireId-2001 counterpart before v84),"WZ atlas-data GET /api/data/skills/{id} tenant=4936dff2-7121-4f46-b9eb-1ae541f4a85f region=GMS major=84 minor=1: 20011000='Three Snails'; 20011001='Recover'; 20011002='Nimble Feet'; 20011003='Legendary Spirit' (job 2001 absent from v79 job list (71 jobs total, no 2001))"
gms,87,1,job,430,DualBlade (unreleased WZ stub),WZ atlas-data GET /api/data/skills/{id} tenant=86da65d2-b9fa-4176-985a-6a5df586220c region=GMS major=87 minor=1: 4300000='' (empty/unresolved name; meymink v0.87 'Pre Dual Blade Quests'; job 430-434 present in job list but skill 4300000 has no WZ name yet)
gms,92,1,job,430,DualBlade,WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 4300000='Katara Mastery'
gms,92,1,skill,1000000,"WarriorImprovedHpRecovery [merge-source, merged->1000006@v95]",WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 1000000='Improved HP Recovery' (job 100)
gms,92,1,skill,1000001,"WarriorImprovedMaxHpIncrease [merge-source, merged->1000006@v95]",WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 1000001='Improved MaxHP Increase' (job 100)
gms,92,1,skill,1000002,"WarriorEndure [merge-source, merged->1000006@v95]",WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 1000002='Endure' (job 100)
gms,95,1,skill,1000006,"HPBoost [merge-target, merge-of 1000000+1000001+1000002@v92]","WZ atlas-data GET /api/data/skills/{id} tenant=c794c706-aea3-4882-90a6-a3b7ee314f52 region=GMS major=95 minor=1: 1000006='HP Boost' (job 100; WZ record maxLevel=0, effects=[] in this baseline (see bigbang doc))"
gms,92,1,skill,2000000,"MagicianImprovedMpRecovery [merge-source, merged->2000006@v95]",WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 2000000='Improved MP Recovery' (job 200)
gms,92,1,skill,2000001,"MagicianImprovedMaxMpIncrease [merge-source, merged->2000006@v95]",WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 2000001='Improved MaxMP Increase' (job 200)
gms,95,1,skill,2000006,"MPBoost [merge-target, merge-of 2000000+2000001@v92]",WZ atlas-data GET /api/data/skills/{id} tenant=c794c706-aea3-4882-90a6-a3b7ee314f52 region=GMS major=95 minor=1: 2000006='MP Boost' (job 200; maxLevel=0 in this baseline)
gms,92,1,skill,1100001,"FighterAxeMastery [merge-source, merged->1100009@v95]",WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 1100001='Axe Mastery' (job 110)
gms,92,1,skill,1100003,"FighterFinalAttackAxe [merge-source, merged->1100009@v95]",WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 1100003='Final Attack : Axe' (job 110)
gms,92,1,skill,1101005,"FighterAxeBooster [merge-source, merged->1101008@v95]",WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 1101005='Axe Booster' (job 110)
gms,95,1,skill,1100009,"EnhancedBasics [merge-target, merge-of 1100001+1100003@v92]",WZ atlas-data GET /api/data/skills/{id} tenant=c794c706-aea3-4882-90a6-a3b7ee314f52 region=GMS major=95 minor=1: 1100009='Enhanced Basics' (job 110; maxLevel=0 in this baseline)
gms,95,1,skill,1101008,"GroundSmash [merge-target, merge-of 1101005@v92 + new]",WZ atlas-data GET /api/data/skills/{id} tenant=c794c706-aea3-4882-90a6-a3b7ee314f52 region=GMS major=95 minor=1: 1101008='Ground Smash' (job 110; maxLevel=0 in this baseline)
gms,92,1,skill,3000000,"BowmanTheBlessingOfAmazon [no-counterpart, removed at v95]",WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 3000000='The Blessing of Amazon' (job 300; no replacement skill id added to job 300's set at v95)
gms,92,1,skill,4100002,"AssassinEndure [rename-source, renamed->4100006@v95]",WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 4100002='Endure' (job 410)
gms,95,1,skill,4100006,"ShadowResistance [rename-target, rename-of 4100002@v92]",WZ atlas-data GET /api/data/skills/{id} tenant=c794c706-aea3-4882-90a6-a3b7ee314f52 region=GMS major=95 minor=1: 4100006='Shadow Resistance' (job 410; maxLevel=0 in this baseline)
gms,92,1,skill,4200001,"BanditEndure [rename-source, renamed->4200006@v95]",WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 4200001='Endure' (job 420)
gms,95,1,skill,4200006,"ShadowResistance [rename-target, rename-of 4200001@v92]",WZ atlas-data GET /api/data/skills/{id} tenant=c794c706-aea3-4882-90a6-a3b7ee314f52 region=GMS major=95 minor=1: 4200006='Shadow Resistance' (job 420; maxLevel=0 in this baseline)
gms,92,1,skill,5100000,"BrawlerImproveMaxHp [split-source, split->5100008+5100009@v95]",WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 5100000='Improve MaxHP' (job 510)
gms,95,1,skill,5100008,"CriticalPunch [split-target, split-from 5100000@v92]",WZ atlas-data GET /api/data/skills/{id} tenant=c794c706-aea3-4882-90a6-a3b7ee314f52 region=GMS major=95 minor=1: 5100008='Critical Punch' (job 510; maxLevel=0 in this baseline)
gms,95,1,skill,5100009,"HPBoost [split-target, split-from 5100000@v92]",WZ atlas-data GET /api/data/skills/{id} tenant=c794c706-aea3-4882-90a6-a3b7ee314f52 region=GMS major=95 minor=1: 5100009='HP Boost' (job 510; maxLevel=0 in this baseline)
gms,92,1,skill,11000000,"MaxHPEnhancement [rename-source, renamed->11000005@v95]",WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 11000000='Max HP Enhancement' (job 1100 (Cygnus))
gms,95,1,skill,11000005,"HPBoost [rename-target, rename-of 11000000@v92]",WZ atlas-data GET /api/data/skills/{id} tenant=c794c706-aea3-4882-90a6-a3b7ee314f52 region=GMS major=95 minor=1: 11000005='HP Boost' (job 1100 (Cygnus); maxLevel=0 in this baseline)
gms,92,1,skill,12000000,"IncreasingMaxMP [rename-source, renamed->12000005@v95]",WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 12000000='Increasing Max MP.' (job 1200 (Cygnus))
gms,95,1,skill,12000005,"MPBoost [rename-target, rename-of 12000000@v92]",WZ atlas-data GET /api/data/skills/{id} tenant=c794c706-aea3-4882-90a6-a3b7ee314f52 region=GMS major=95 minor=1: 12000005='MP Boost' (job 1200 (Cygnus); maxLevel=0 in this baseline)
gms,92,1,skill,1120005,HeroGuardian [UNVERIFIED relationship to 1120012@v95],WZ atlas-data GET /api/data/skills/{id} tenant=db1dbfb3-4345-4731-9223-c40b0c7f6457 region=GMS major=92 minor=1: 1120005='Guardian' (job 112; full leveled effect data present (maxLevel=30))
gms,95,1,skill,1120012,CombatMastery [UNVERIFIED relationship to 1120005@v92],"WZ atlas-data GET /api/data/skills/{id} tenant=c794c706-aea3-4882-90a6-a3b7ee314f52 region=GMS major=95 minor=1: 1120012='Combat Mastery' (job 112; WZ record maxLevel=0, effects=[] -- cannot confirm rename/merge/no-counterpart without further IDA/WZ evidence; escalated in bigbang-v092-v095.md)"
