region,major,minor,domain,identityName,released,meymink
jms,185,1,job,SuperGM,true,"meymink README.md line ~4674-4680 'v0.05 (Jul 14, 2005) - GM Events' (earliest explicit GM mention; GM/SuperGM tooling predates the game's public patch-log granularity) [meymink is a GMS-only patch log; JMS v185 release timing for this identity is NOT independently confirmed from meymink -- carried forward from the GMS anchor only as a cross-region reference point]"
gms,48,1,job,Pirate,false,"meymink README.md line ~4082-4092 'v0.62 (Nov 12, 2008) - Pirate Class'"
gms,61,1,job,Pirate,false,"meymink README.md line ~4095-4105 'v0.61 (Oct 15, 2008) - Pre Pirate Quests' (WZ stub present, unreleased; see divergences.csv job 500/510 @ v61)"
gms,72,1,job,Pirate,true,"meymink README.md line ~4082-4092 'v0.62 (Nov 12, 2008) - Pirate Class'"
gms,79,1,job,Pirate,true,"meymink README.md line ~4082-4092 'v0.62 (Nov 12, 2008) - Pirate Class'"
gms,83,1,job,Pirate,true,"meymink README.md line ~4082-4092 'v0.62 (Nov 12, 2008) - Pirate Class'"
gms,84,1,job,Pirate,true,"meymink README.md line ~4082-4092 'v0.62 (Nov 12, 2008) - Pirate Class'"
gms,87,1,job,Pirate,true,"meymink README.md line ~4082-4092 'v0.62 (Nov 12, 2008) - Pirate Class'"
gms,92,1,job,Pirate,true,"meymink README.md line ~4082-4092 'v0.62 (Nov 12, 2008) - Pirate Class'"
gms,95,1,job,Pirate,true,"meymink README.md line ~4082-4092 'v0.62 (Nov 12, 2008) - Pirate Class'"
jms,185,1,job,Pirate,true,"meymink README.md line ~4082-4092 'v0.62 (Nov 12, 2008) - Pirate Class' [meymink is a GMS-only patch log; JMS v185 release timing for this identity is NOT independently confirmed from meymink -- carried forward from the GMS anchor only as a cross-region reference point]"
gms,48,1,job,Cygnus,false,"meymink README.md line ~3943-3956 'v0.73 (Jul 29, 2009) - Cygnus Knights Class' (Cygnus original GMS release anchor, OQ-3; see cygnus-anchor.md)"
gms,61,1,job,Cygnus,false,"meymink README.md line ~3943-3956 'v0.73 (Jul 29, 2009) - Cygnus Knights Class' (Cygnus original GMS release anchor, OQ-3; see cygnus-anchor.md)"
gms,72,1,job,Cygnus,false,"meymink README.md line ~3943-3956 'v0.73 (Jul 29, 2009) - Cygnus Knights Class' (Cygnus original GMS release anchor, OQ-3; see cygnus-anchor.md) (WZ stub present, unreleased; see divergences.csv job 1000 @ v72)"
gms,79,1,job,Cygnus,true,"meymink README.md line ~3943-3956 'v0.73 (Jul 29, 2009) - Cygnus Knights Class' (Cygnus original GMS release anchor, OQ-3; see cygnus-anchor.md)"
gms,83,1,job,Cygnus,true,"meymink README.md line ~3943-3956 'v0.73 (Jul 29, 2009) - Cygnus Knights Class' (Cygnus original GMS release anchor, OQ-3; see cygnus-anchor.md)"
gms,84,1,job,Cygnus,true,"meymink README.md line ~3943-3956 'v0.73 (Jul 29, 2009) - Cygnus Knights Class' (Cygnus original GMS release anchor, OQ-3; see cygnus-anchor.md)"
gms,87,1,job,Cygnus,true,"meymink README.md line ~3943-3956 'v0.73 (Jul 29, 2009) - Cygnus Knights Class' (Cygnus original GMS release anchor, OQ-3; see cygnus-anchor.md)"
gms,92,1,job,Cygnus,true,"meymink README.md line ~3943-3956 'v0.73 (Jul 29, 2009) - Cygnus Knights Class' (Cygnus original GMS release anchor, OQ-3; see cygnus-anchor.md)"
gms,95,1,job,Cygnus,true,"meymink README.md line ~3943-3956 'v0.73 (Jul 29, 2009) - Cygnus Knights Class' (Cygnus original GMS release anchor, OQ-3; see cygnus-anchor.md)"
jms,185,1,job,Cygnus,true,"meymink README.md line ~3943-3956 'v0.73 (Jul 29, 2009) - Cygnus Knights Class' (Cygnus original GMS release anchor, OQ-3; see cygnus-anchor.md) [meymink is a GMS-only patch log; JMS v185 release timing for this identity is NOT independently confirmed from meymink -- carried forward from the GMS anchor only as a cross-region reference point]"
gms,48,1,job,Aran,false,"meymink README.md line ~3833-3850 'v0.80 (Dec 10, 2009) - Aran Class'"
gms,61,1,job,Aran,false,"meymink README.md line ~3833-3850 'v0.80 (Dec 10, 2009) - Aran Class'"
gms,72,1,job,Aran,false,"meymink README.md line ~3833-3850 'v0.80 (Dec 10, 2009) - Aran Class'"
gms,79,1,job,Aran,false,"meymink README.md line ~3854-3866 'v0.79 (Nov 11, 2009) - Pre Aran Quests' (WZ stub present, unreleased; see divergences.csv job 2000 @ v79)"
gms,83,1,job,Aran,true,"meymink README.md line ~3833-3850 'v0.80 (Dec 10, 2009) - Aran Class'"
gms,84,1,job,Aran,true,"meymink README.md line ~3833-3850 'v0.80 (Dec 10, 2009) - Aran Class'"
gms,87,1,job,Aran,true,"meymink README.md line ~3833-3850 'v0.80 (Dec 10, 2009) - Aran Class'"
gms,92,1,job,Aran,true,"meymink README.md line ~3833-3850 'v0.80 (Dec 10, 2009) - Aran Class'"
gms,95,1,job,Aran,true,"meymink README.md line ~3833-3850 'v0.80 (Dec 10, 2009) - Aran Class'"
jms,185,1,job,Aran,true,"meymink README.md line ~3833-3850 'v0.80 (Dec 10, 2009) - Aran Class' [meymink is a GMS-only patch log; JMS v185 release timing for this identity is NOT independently confirmed from meymink -- carried forward from the GMS anchor only as a cross-region reference point]"
gms,48,1,job,Evan,false,"meymink README.md line ~3774-3790 'v0.84 (Mar 31, 2010) - Evan Class'"
gms,61,1,job,Evan,false,"meymink README.md line ~3774-3790 'v0.84 (Mar 31, 2010) - Evan Class'"
gms,72,1,job,Evan,false,"meymink README.md line ~3774-3790 'v0.84 (Mar 31, 2010) - Evan Class'"
gms,79,1,job,Evan,false,"meymink README.md line ~3774-3790 'v0.84 (Mar 31, 2010) - Evan Class'"
gms,83,1,job,Evan,false,"meymink README.md line ~3774-3790 'v0.84 (Mar 31, 2010) - Evan Class'"
gms,84,1,job,Evan,true,"meymink README.md line ~3774-3790 'v0.84 (Mar 31, 2010) - Evan Class'"
gms,87,1,job,Evan,true,"meymink README.md line ~3774-3790 'v0.84 (Mar 31, 2010) - Evan Class'"
gms,92,1,job,Evan,true,"meymink README.md line ~3774-3790 'v0.84 (Mar 31, 2010) - Evan Class'"
gms,95,1,job,Evan,true,"meymink README.md line ~3774-3790 'v0.84 (Mar 31, 2010) - Evan Class'"
jms,185,1,job,Evan,true,"meymink README.md line ~3774-3790 'v0.84 (Mar 31, 2010) - Evan Class' [meymink is a GMS-only patch log; JMS v185 release timing for this identity is NOT independently confirmed from meymink -- carried forward from the GMS anchor only as a cross-region reference point]"
gms,48,1,job,DualBlade,false,"meymink README.md line ~3701-3717 'v0.88 (Jul 21, 2010) - Dual Blade Class'"
gms,61,1,job,DualBlade,false,"meymink README.md line ~3701-3717 'v0.88 (Jul 21, 2010) - Dual Blade Class'"
gms,72,1,job,DualBlade,false,"meymink README.md line ~3701-3717 'v0.88 (Jul 21, 2010) - Dual Blade Class'"
gms,79,1,job,DualBlade,false,"meymink README.md line ~3701-3717 'v0.88 (Jul 21, 2010) - Dual Blade Class'"
gms,83,1,job,DualBlade,false,"meymink README.md line ~3701-3717 'v0.88 (Jul 21, 2010) - Dual Blade Class'"
gms,84,1,job,DualBlade,false,"meymink README.md line ~3701-3717 'v0.88 (Jul 21, 2010) - Dual Blade Class'"
gms,87,1,job,DualBlade,false,"meymink README.md line ~3721-3728 'v0.87 (Jun 23, 2010) - Pre Dual Blade Quests' (WZ stub present, unreleased; see divergences.csv job 430 @ v87)"
gms,92,1,job,DualBlade,true,"meymink README.md line ~3701-3717 'v0.88 (Jul 21, 2010) - Dual Blade Class'"
gms,95,1,job,DualBlade,true,"meymink README.md line ~3701-3717 'v0.88 (Jul 21, 2010) - Dual Blade Class'"
jms,185,1,job,DualBlade,true,"meymink README.md line ~3701-3717 'v0.88 (Jul 21, 2010) - Dual Blade Class' [meymink is a GMS-only patch log; JMS v185 release timing for this identity is NOT independently confirmed from meymink -- carried forward from the GMS anchor only as a cross-region reference point]"
gms,48,1,job,Resistance,false,"meymink README.md line ~3611-3624 'v0.94 (Dec 20, 2010) - Resistance Class'"
gms,61,1,job,Resistance,false,"meymink README.md line ~3611-3624 'v0.94 (Dec 20, 2010) - Resistance Class'"
gms,72,1,job,Resistance,false,"meymink README.md line ~3611-3624 'v0.94 (Dec 20, 2010) - Resistance Class'"
gms,79,1,job,Resistance,false,"meymink README.md line ~3611-3624 'v0.94 (Dec 20, 2010) - Resistance Class'"
gms,83,1,job,Resistance,false,"meymink README.md line ~3611-3624 'v0.94 (Dec 20, 2010) - Resistance Class'"
gms,84,1,job,Resistance,false,"meymink README.md line ~3611-3624 'v0.94 (Dec 20, 2010) - Resistance Class'"
gms,87,1,job,Resistance,false,"meymink README.md line ~3611-3624 'v0.94 (Dec 20, 2010) - Resistance Class'"
gms,92,1,job,Resistance,false,"meymink README.md line ~3611-3624 'v0.94 (Dec 20, 2010) - Resistance Class'"
gms,95,1,job,Resistance,true,"meymink README.md line ~3611-3624 'v0.94 (Dec 20, 2010) - Resistance Class'"
jms,185,1,job,Resistance,true,"meymink README.md line ~3611-3624 'v0.94 (Dec 20, 2010) - Resistance Class' [meymink is a GMS-only patch log; JMS v185 release timing for this identity is NOT independently confirmed from meymink -- carried forward from the GMS anchor only as a cross-region reference point]"
gms,48,1,job,Mechanic,false,"meymink README.md line ~3595-3608 'v0.95 (Jan 19, 2011) - Mechanics'"
gms,61,1,job,Mechanic,false,"meymink README.md line ~3595-3608 'v0.95 (Jan 19, 2011) - Mechanics'"
gms,72,1,job,Mechanic,false,"meymink README.md line ~3595-3608 'v0.95 (Jan 19, 2011) - Mechanics'"
gms,79,1,job,Mechanic,false,"meymink README.md line ~3595-3608 'v0.95 (Jan 19, 2011) - Mechanics'"
gms,83,1,job,Mechanic,false,"meymink README.md line ~3595-3608 'v0.95 (Jan 19, 2011) - Mechanics'"
gms,84,1,job,Mechanic,false,"meymink README.md line ~3595-3608 'v0.95 (Jan 19, 2011) - Mechanics'"
gms,87,1,job,Mechanic,false,"meymink README.md line ~3595-3608 'v0.95 (Jan 19, 2011) - Mechanics'"
gms,92,1,job,Mechanic,false,"meymink README.md line ~3595-3608 'v0.95 (Jan 19, 2011) - Mechanics'"
gms,95,1,job,Mechanic,true,"meymink README.md line ~3595-3608 'v0.95 (Jan 19, 2011) - Mechanics'"
jms,185,1,job,Mechanic,true,"meymink README.md line ~3595-3608 'v0.95 (Jan 19, 2011) - Mechanics' [meymink is a GMS-only patch log; JMS v185 release timing for this identity is NOT independently confirmed from meymink -- carried forward from the GMS anchor only as a cross-region reference point]"
