map_id	total_spawn_points	one_time_points	class
970030209	1	1	all-one-time
970030210	1	1	all-one-time
970030211	1	1	all-one-time
970030300	1	1	all-one-time
970030301	1	1	all-one-time
970030302	1	1	all-one-time
970030303	1	1	all-one-time
970030304	1	1	all-one-time
970030305	1	1	all-one-time
970030306	1	1	all-one-time
970030307	1	1	all-one-time
970030308	1	1	all-one-time
970030309	1	1	all-one-time
970030310	1	1	all-one-time
970030311	1	1	all-one-time
970030400	1	1	all-one-time
970030401	1	1	all-one-time
970030402	1	1	all-one-time
970030403	1	1	all-one-time
970030404	1	1	all-one-time
970030405	1	1	all-one-time
970030406	1	1	all-one-time
970030407	1	1	all-one-time
970030408	1	1	all-one-time
970030409	1	1	all-one-time
970030410	1	1	all-one-time
970030411	1	1	all-one-time
970030500	1	1	all-one-time
970030501	1	1	all-one-time
970030502	1	1	all-one-time
970030503	1	1	all-one-time
970030504	1	1	all-one-time
970030505	1	1	all-one-time
970030506	1	1	all-one-time
970030507	1	1	all-one-time
970030508	1	1	all-one-time
970030509	1	1	all-one-time
970030510	1	1	all-one-time
970030511	1	1	all-one-time
970030600	1	1	all-one-time
970030601	1	1	all-one-time
970030602	1	1	all-one-time
970030603	1	1	all-one-time
970030604	1	1	all-one-time
970030605	1	1	all-one-time
970030606	1	1	all-one-time
970030607	1	1	all-one-time
970030608	1	1	all-one-time
970030609	1	1	all-one-time
970030610	1	1	all-one-time
970030611	1	1	all-one-time
970030700	1	1	all-one-time
970030701	1	1	all-one-time
970030702	1	1	all-one-time
970030703	1	1	all-one-time
970030704	1	1	all-one-time
970030705	1	1	all-one-time
970030706	1	1	all-one-time
970030707	1	1	all-one-time
970030708	1	1	all-one-time
970030709	1	1	all-one-time
970030710	1	1	all-one-time
970030711	1	1	all-one-time
970030800	1	1	all-one-time
970030801	1	1	all-one-time
970030802	1	1	all-one-time
970030803	1	1	all-one-time
970030804	1	1	all-one-time
970030805	1	1	all-one-time
970030806	1	1	all-one-time
970030807	1	1	all-one-time
970030808	1	1	all-one-time
970030809	1	1	all-one-time
970030810	1	1	all-one-time
970030811	1	1	all-one-time
970030900	1	1	all-one-time
970030901	1	1	all-one-time
970030902	1	1	all-one-time
970030903	1	1	all-one-time
970030904	1	1	all-one-time
970030905	1	1	all-one-time
970030906	1	1	all-one-time
970030907	1	1	all-one-time
970030908	1	1	all-one-time
970030909	1	1	all-one-time
970030910	1	1	all-one-time
970030911	1	1	all-one-time
970031000	1	1	all-one-time
970031001	1	1	all-one-time
970031002	1	1	all-one-time
970031003	1	1	all-one-time
970031004	1	1	all-one-time
970031005	1	1	all-one-time
970031006	1	1	all-one-time
970031007	1	1	all-one-time
970031008	1	1	all-one-time
970031009	1	1	all-one-time
970031010	1	1	all-one-time
970031011	1	1	all-one-time
970031100	1	1	all-one-time
970031101	1	1	all-one-time
970031102	1	1	all-one-time
970031103	1	1	all-one-time
970031104	1	1	all-one-time
970031105	1	1	all-one-time
970031106	1	1	all-one-time
970031107	1	1	all-one-time
970031108	1	1	all-one-time
970031109	1	1	all-one-time
970031110	1	1	all-one-time
970031111	1	1	all-one-time
970031200	1	1	all-one-time
970031201	1	1	all-one-time
970031202	1	1	all-one-time
970031203	1	1	all-one-time
970031204	1	1	all-one-time
970031205	1	1	all-one-time
970031206	1	1	all-one-time
970031207	1	1	all-one-time
970031208	1	1	all-one-time
970031209	1	1	all-one-time
970031210	1	1	all-one-time
970031211	1	1	all-one-time
970031300	1	1	all-one-time
970031301	1	1	all-one-time
970031302	1	1	all-one-time
970031303	1	1	all-one-time
970031304	1	1	all-one-time
970031305	1	1	all-one-time
970031306	1	1	all-one-time
970031307	1	1	all-one-time
970031308	1	1	all-one-time
970031309	1	1	all-one-time
970031310	1	1	all-one-time
970031311	1	1	all-one-time
970031400	1	1	all-one-time
970031401	1	1	all-one-time
970031402	1	1	all-one-time
970031403	1	1	all-one-time
970031404	1	1	all-one-time
970031405	1	1	all-one-time
970031406	1	1	all-one-time
970031407	1	1	all-one-time
970031408	1	1	all-one-time
970031409	1	1	all-one-time
970031410	1	1	all-one-time
970031411	1	1	all-one-time
970031500	1	1	all-one-time
970031501	1	1	all-one-time
970031502	1	1	all-one-time
970031503	1	1	all-one-time
970031504	1	1	all-one-time
970031505	1	1	all-one-time
970031506	1	1	all-one-time
970031507	1	1	all-one-time
970031508	1	1	all-one-time
970031509	1	1	all-one-time
970031510	1	1	all-one-time
970031511	1	1	all-one-time
970031600	1	1	all-one-time
970031601	1	1	all-one-time
970031602	1	1	all-one-time
970031603	1	1	all-one-time
970031604	1	1	all-one-time
970031605	1	1	all-one-time
970031606	1	1	all-one-time
970031607	1	1	all-one-time
970031608	1	1	all-one-time
970031609	1	1	all-one-time
970031610	1	1	all-one-time
970031611	1	1	all-one-time
970031700	1	1	all-one-time
970031701	1	1	all-one-time
970031702	1	1	all-one-time
970031703	1	1	all-one-time
970031704	1	1	all-one-time
970031705	1	1	all-one-time
970031706	1	1	all-one-time
970031707	1	1	all-one-time
970031708	1	1	all-one-time
970031709	1	1	all-one-time
970031710	1	1	all-one-time
970031711	1	1	all-one-time
970031800	1	1	all-one-time
970031801	1	1	all-one-time
970031802	1	1	all-one-time
970031803	1	1	all-one-time
970031804	1	1	all-one-time
970031805	1	1	all-one-time
970031806	1	1	all-one-time
970031807	1	1	all-one-time
970031808	1	1	all-one-time
970031809	1	1	all-one-time
970031810	1	1	all-one-time
970031811	1	1	all-one-time
970031900	1	1	all-one-time
970031901	1	1	all-one-time
970031902	1	1	all-one-time
970031903	1	1	all-one-time
970031904	1	1	all-one-time
970031905	1	1	all-one-time
970031906	1	1	all-one-time
970031907	1	1	all-one-time
970031908	1	1	all-one-time
970031909	1	1	all-one-time
970031910	1	1	all-one-time
970031911	1	1	all-one-time
970032000	1	1	all-one-time
970032001	1	1	all-one-time
970032002	1	1	all-one-time
970032003	1	1	all-one-time
970032004	1	1	all-one-time
970032005	1	1	all-one-time
970032006	1	1	all-one-time
970032007	1	1	all-one-time
970032008	1	1	all-one-time
970032009	1	1	all-one-time
970032010	1	1	all-one-time
970032011	1	1	all-one-time
970032100	1	1	all-one-time
970032101	1	1	all-one-time
970032102	1	1	all-one-time
970032103	1	1	all-one-time
970032104	1	1	all-one-time
970032105	1	1	all-one-time
970032106	1	1	all-one-time
970032107	1	1	all-one-time
970032108	1	1	all-one-time
970032109	1	1	all-one-time
970032110	1	1	all-one-time
970032111	1	1	all-one-time
970032200	1	1	all-one-time
970032201	1	1	all-one-time
970032202	1	1	all-one-time
970032203	1	1	all-one-time
970032204	1	1	all-one-time
970032205	1	1	all-one-time
970032206	1	1	all-one-time
970032207	1	1	all-one-time
970032208	1	1	all-one-time
970032209	1	1	all-one-time
970032210	1	1	all-one-time
970032211	1	1	all-one-time
970032300	1	1	all-one-time
970032301	1	1	all-one-time
970032302	1	1	all-one-time
970032303	1	1	all-one-time
970032304	1	1	all-one-time
970032305	1	1	all-one-time
970032306	1	1	all-one-time
970032307	1	1	all-one-time
970032308	1	1	all-one-time
970032309	1	1	all-one-time
970032310	1	1	all-one-time
970032311	1	1	all-one-time
970032400	1	1	all-one-time
970032401	1	1	all-one-time
970032402	1	1	all-one-time
970032403	1	1	all-one-time
970032404	1	1	all-one-time
970032405	1	1	all-one-time
970032406	1	1	all-one-time
970032407	1	1	all-one-time
970032408	1	1	all-one-time
970032409	1	1	all-one-time
970032410	1	1	all-one-time
970032411	1	1	all-one-time
970032500	1	1	all-one-time
970032501	1	1	all-one-time
970032502	1	1	all-one-time
970032503	1	1	all-one-time
970032504	1	1	all-one-time
970032505	1	1	all-one-time
970032506	1	1	all-one-time
970032507	1	1	all-one-time
970032508	1	1	all-one-time
970032509	1	1	all-one-time
970032510	1	1	all-one-time
970032511	1	1	all-one-time
970032600	1	1	all-one-time
970032601	1	1	all-one-time
970032602	1	1	all-one-time
970032603	1	1	all-one-time
970032604	1	1	all-one-time
970032605	1	1	all-one-time
970032606	1	1	all-one-time
970032607	1	1	all-one-time
970032608	1	1	all-one-time
970032609	1	1	all-one-time
970032610	1	1	all-one-time
970032611	1	1	all-one-time
970032700	1	1	all-one-time
970032701	1	1	all-one-time
970032702	1	1	all-one-time
970032703	1	1	all-one-time
970032704	1	1	all-one-time
970032705	1	1	all-one-time
970032706	1	1	all-one-time
970032707	1	1	all-one-time
970032708	1	1	all-one-time
970032709	1	1	all-one-time
970032710	1	1	all-one-time
970032711	1	1	all-one-time
970040100	1	1	all-one-time
970040101	1	1	all-one-time
970040102	1	1	all-one-time
970040103	1	1	all-one-time
970040104	1	1	all-one-time
970040105	1	1	all-one-time
970040106	1	1	all-one-time
970040107	1	1	all-one-time
970040108	1	1	all-one-time
970040109	1	1	all-one-time
970040110	1	1	all-one-time
970040111	1	1	all-one-time
970040112	1	1	all-one-time
970040113	1	1	all-one-time
970040114	1	1	all-one-time
970040115	1	1	all-one-time
970040116	1	1	all-one-time
970040117	1	1	all-one-time
970040200	1	1	all-one-time
970040201	1	1	all-one-time
970040202	1	1	all-one-time
970040203	1	1	all-one-time
970040204	1	1	all-one-time
970040205	1	1	all-one-time
970040206	1	1	all-one-time
970040207	1	1	all-one-time
970040208	1	1	all-one-time
970040209	1	1	all-one-time
970040210	1	1	all-one-time
970040211	1	1	all-one-time
970040212	1	1	all-one-time
970040213	1	1	all-one-time
970040214	1	1	all-one-time
970040215	1	1	all-one-time
970040216	1	1	all-one-time
970040217	1	1	all-one-time
970040300	1	1	all-one-time
970040301	1	1	all-one-time
970040302	1	1	all-one-time
970040303	1	1	all-one-time
970040304	1	1	all-one-time
970040305	1	1	all-one-time
970040306	1	1	all-one-time
970040307	1	1	all-one-time
970040308	1	1	all-one-time
970040309	1	1	all-one-time
970040310	1	1	all-one-time
970040311	1	1	all-one-time
970040312	1	1	all-one-time
970040313	1	1	all-one-time
970040314	1	1	all-one-time
970040315	1	1	all-one-time
970040316	1	1	all-one-time
970040317	1	1	all-one-time
970040400	1	1	all-one-time
970040401	1	1	all-one-time
970040402	1	1	all-one-time
970040403	1	1	all-one-time
970040404	1	1	all-one-time
970040405	1	1	all-one-time
970040406	1	1	all-one-time
970040407	1	1	all-one-time
970040408	1	1	all-one-time
970040409	1	1	all-one-time
970040410	1	1	all-one-time
970040411	1	1	all-one-time
970040412	1	1	all-one-time
970040413	1	1	all-one-time
970040414	1	1	all-one-time
970040415	1	1	all-one-time
970040416	1	1	all-one-time
970040417	1	1	all-one-time
970040500	1	1	all-one-time
970040501	1	1	all-one-time
970040502	1	1	all-one-time
970040503	1	1	all-one-time
970040504	1	1	all-one-time
970040505	1	1	all-one-time
970040506	1	1	all-one-time
970040507	1	1	all-one-time
970040508	1	1	all-one-time
970040509	1	1	all-one-time
970040510	1	1	all-one-time
970040511	1	1	all-one-time
970040512	1	1	all-one-time
970040513	1	1	all-one-time
970040514	1	1	all-one-time
970040515	1	1	all-one-time
970040516	1	1	all-one-time
970040517	1	1	all-one-time
970040600	1	1	all-one-time
970040601	1	1	all-one-time
970040602	1	1	all-one-time
970040603	1	1	all-one-time
970040604	1	1	all-one-time
970040605	1	1	all-one-time
970040606	1	1	all-one-time
970040607	1	1	all-one-time
970040608	1	1	all-one-time
970040609	1	1	all-one-time
970040610	1	1	all-one-time
970040611	1	1	all-one-time
970040612	1	1	all-one-time
970040613	1	1	all-one-time
970040614	1	1	all-one-time
970040615	1	1	all-one-time
970040616	1	1	all-one-time
970040617	1	1	all-one-time
970040700	1	1	all-one-time
970040701	1	1	all-one-time
970040702	1	1	all-one-time
970040703	1	1	all-one-time
970040704	1	1	all-one-time
970040705	1	1	all-one-time
970040706	1	1	all-one-time
970040707	1	1	all-one-time
970040708	1	1	all-one-time
970040709	1	1	all-one-time
970040710	1	1	all-one-time
970040711	1	1	all-one-time
970040712	1	1	all-one-time
970040713	1	1	all-one-time
970040714	1	1	all-one-time
970040715	1	1	all-one-time
970040716	1	1	all-one-time
970040717	1	1	all-one-time
970040800	1	1	all-one-time
970040801	1	1	all-one-time
970040802	1	1	all-one-time
970040803	1	1	all-one-time
970040804	1	1	all-one-time
970040805	1	1	all-one-time
970040806	1	1	all-one-time
970040807	1	1	all-one-time
970040808	1	1	all-one-time
970040809	1	1	all-one-time
970040810	1	1	all-one-time
970040811	1	1	all-one-time
970040812	1	1	all-one-time
970040813	1	1	all-one-time
970040814	1	1	all-one-time
970040815	1	1	all-one-time
970040816	1	1	all-one-time
970040817	1	1	all-one-time
970040900	1	1	all-one-time
970040901	1	1	all-one-time
970040902	1	1	all-one-time
970040903	1	1	all-one-time
970040904	1	1	all-one-time
970040905	1	1	all-one-time
970040906	1	1	all-one-time
970040907	1	1	all-one-time
970040908	1	1	all-one-time
970040909	1	1	all-one-time
970040910	1	1	all-one-time
970040911	1	1	all-one-time
970040912	1	1	all-one-time
970040913	1	1	all-one-time
970040914	1	1	all-one-time
970040915	1	1	all-one-time
970040916	1	1	all-one-time
970040917	1	1	all-one-time
970041000	1	1	all-one-time
970041001	1	1	all-one-time
970041002	1	1	all-one-time
970041003	1	1	all-one-time
970041004	1	1	all-one-time
970041005	1	1	all-one-time
970041006	1	1	all-one-time
970041007	1	1	all-one-time
970041008	1	1	all-one-time
970041009	1	1	all-one-time
970041010	1	1	all-one-time
970041011	1	1	all-one-time
970041012	1	1	all-one-time
970041013	1	1	all-one-time
970041014	1	1	all-one-time
970041015	1	1	all-one-time
970041016	1	1	all-one-time
970041017	1	1	all-one-time
970041100	1	1	all-one-time
970041101	1	1	all-one-time
970041102	1	1	all-one-time
970041103	1	1	all-one-time
970041104	1	1	all-one-time
970041105	1	1	all-one-time
970041106	1	1	all-one-time
970041107	1	1	all-one-time
970041108	1	1	all-one-time
970041109	1	1	all-one-time
970041110	1	1	all-one-time
970041111	1	1	all-one-time
970041112	1	1	all-one-time
970041113	1	1	all-one-time
970041114	1	1	all-one-time
970041115	1	1	all-one-time
970041116	1	1	all-one-time
970041117	1	1	all-one-time
970041200	1	1	all-one-time
970041201	1	1	all-one-time
970041202	1	1	all-one-time
970041203	1	1	all-one-time
970041204	1	1	all-one-time
970041205	1	1	all-one-time
970041206	1	1	all-one-time
970041207	1	1	all-one-time
970041208	1	1	all-one-time
970041209	1	1	all-one-time
970041210	1	1	all-one-time
970041211	1	1	all-one-time
970041212	1	1	all-one-time
970041213	1	1	all-one-time
970041214	1	1	all-one-time
970041215	1	1	all-one-time
970041216	1	1	all-one-time
970041217	1	1	all-one-time
970041300	1	1	all-one-time
970041301	1	1	all-one-time
970041302	1	1	all-one-time
970041303	1	1	all-one-time
970041304	1	1	all-one-time
970041305	1	1	all-one-time
970041306	1	1	all-one-time
970041307	1	1	all-one-time
970041308	1	1	all-one-time
970041309	1	1	all-one-time
970041310	1	1	all-one-time
970041311	1	1	all-one-time
970041312	1	1	all-one-time
970041313	1	1	all-one-time
970041314	1	1	all-one-time
970041315	1	1	all-one-time
970041316	1	1	all-one-time
970041317	1	1	all-one-time
970041400	1	1	all-one-time
970041401	1	1	all-one-time
970041402	1	1	all-one-time
970041403	1	1	all-one-time
970041404	1	1	all-one-time
970041405	1	1	all-one-time
970041406	1	1	all-one-time
970041407	1	1	all-one-time
970041408	1	1	all-one-time
970041409	1	1	all-one-time
970041410	1	1	all-one-time
970041411	1	1	all-one-time
970041412	1	1	all-one-time
970041413	1	1	all-one-time
970041414	1	1	all-one-time
970041415	1	1	all-one-time
970041416	1	1	all-one-time
970041417	1	1	all-one-time
970041500	1	1	all-one-time
970041501	1	1	all-one-time
970041502	1	1	all-one-time
970041503	1	1	all-one-time
970041504	1	1	all-one-time
970041505	1	1	all-one-time
970041506	1	1	all-one-time
970041507	1	1	all-one-time
970041508	1	1	all-one-time
970041509	1	1	all-one-time
970041510	1	1	all-one-time
970041511	1	1	all-one-time
970041512	1	1	all-one-time
970041513	1	1	all-one-time
970041514	1	1	all-one-time
970041515	1	1	all-one-time
970041516	1	1	all-one-time
970041517	1	1	all-one-time
970041600	1	1	all-one-time
970041601	1	1	all-one-time
970041602	1	1	all-one-time
970041603	1	1	all-one-time
970041604	1	1	all-one-time
970041605	1	1	all-one-time
970041606	1	1	all-one-time
970041607	1	1	all-one-time
970041608	1	1	all-one-time
970041609	1	1	all-one-time
970041610	1	1	all-one-time
970041611	1	1	all-one-time
970041612	1	1	all-one-time
970041613	1	1	all-one-time
970041614	1	1	all-one-time
970041615	1	1	all-one-time
970041616	1	1	all-one-time
970041617	1	1	all-one-time
970041700	1	1	all-one-time
970041701	1	1	all-one-time
970041702	1	1	all-one-time
970041703	1	1	all-one-time
970041704	1	1	all-one-time
970041705	1	1	all-one-time
970041706	1	1	all-one-time
970041707	1	1	all-one-time
970041708	1	1	all-one-time
970041709	1	1	all-one-time
970041710	1	1	all-one-time
970041711	1	1	all-one-time
970041712	1	1	all-one-time
970041713	1	1	all-one-time
970041714	1	1	all-one-time
970041715	1	1	all-one-time
970041716	1	1	all-one-time
970041717	1	1	all-one-time
970041800	1	1	all-one-time
970041801	1	1	all-one-time
970041802	1	1	all-one-time
970041803	1	1	all-one-time
970041804	1	1	all-one-time
970041805	1	1	all-one-time
970041806	1	1	all-one-time
970041807	1	1	all-one-time
970041808	1	1	all-one-time
970041809	1	1	all-one-time
970041810	1	1	all-one-time
970041811	1	1	all-one-time
970041812	1	1	all-one-time
970041813	1	1	all-one-time
970041814	1	1	all-one-time
970041815	1	1	all-one-time
970041816	1	1	all-one-time
970041817	1	1	all-one-time
970041900	1	1	all-one-time
970041901	1	1	all-one-time
970041902	1	1	all-one-time
970041903	1	1	all-one-time
970041904	1	1	all-one-time
970041905	1	1	all-one-time
970041906	1	1	all-one-time
970041907	1	1	all-one-time
970041908	1	1	all-one-time
970041909	1	1	all-one-time
970041910	1	1	all-one-time
970041911	1	1	all-one-time
970041912	1	1	all-one-time
970041913	1	1	all-one-time
970041914	1	1	all-one-time
970041915	1	1	all-one-time
970041916	1	1	all-one-time
970041917	1	1	all-one-time
970042000	1	1	all-one-time
970042001	1	1	all-one-time
970042002	1	1	all-one-time
970042003	1	1	all-one-time
970042004	1	1	all-one-time
970042005	1	1	all-one-time
970042006	1	1	all-one-time
970042007	1	1	all-one-time
970042008	1	1	all-one-time
970042009	1	1	all-one-time
970042010	1	1	all-one-time
970042011	1	1	all-one-time
970042012	1	1	all-one-time
970042013	1	1	all-one-time
970042014	1	1	all-one-time
970042015	1	1	all-one-time
970042016	1	1	all-one-time
970042017	1	1	all-one-time
970042100	1	1	all-one-time
970042101	1	1	all-one-time
970042102	1	1	all-one-time
970042103	1	1	all-one-time
970042104	1	1	all-one-time
970042105	1	1	all-one-time
970042106	1	1	all-one-time
970042107	1	1	all-one-time
970042108	1	1	all-one-time
970042109	1	1	all-one-time
970042110	1	1	all-one-time
970042111	1	1	all-one-time
970042112	1	1	all-one-time
970042113	1	1	all-one-time
970042114	1	1	all-one-time
970042115	1	1	all-one-time
970042116	1	1	all-one-time
970042117	1	1	all-one-time
970042200	1	1	all-one-time
970042201	1	1	all-one-time
970042202	1	1	all-one-time
970042203	1	1	all-one-time
970042204	1	1	all-one-time
970042205	1	1	all-one-time
970042206	1	1	all-one-time
970042207	1	1	all-one-time
970042208	1	1	all-one-time
970042209	1	1	all-one-time
970042210	1	1	all-one-time
970042211	1	1	all-one-time
970042212	1	1	all-one-time
970042213	1	1	all-one-time
970042214	1	1	all-one-time
970042215	1	1	all-one-time
970042216	1	1	all-one-time
970042217	1	1	all-one-time
970042300	1	1	all-one-time
970042301	1	1	all-one-time
970042302	1	1	all-one-time
970042303	1	1	all-one-time
970042304	1	1	all-one-time
970042305	1	1	all-one-time
970042306	1	1	all-one-time
970042307	1	1	all-one-time
970042308	1	1	all-one-time
970042309	1	1	all-one-time
970042310	1	1	all-one-time
970042311	1	1	all-one-time
970042312	1	1	all-one-time
970042313	1	1	all-one-time
970042314	1	1	all-one-time
970042315	1	1	all-one-time
970042316	1	1	all-one-time
970042317	1	1	all-one-time
970042400	1	1	all-one-time
970042401	1	1	all-one-time
970042402	1	1	all-one-time
970042403	1	1	all-one-time
970042404	1	1	all-one-time
970042405	1	1	all-one-time
970042406	1	1	all-one-time
970042407	1	1	all-one-time
970042408	1	1	all-one-time
970042409	1	1	all-one-time
970042410	1	1	all-one-time
970042411	1	1	all-one-time
970042412	1	1	all-one-time
970042413	1	1	all-one-time
970042414	1	1	all-one-time
970042415	1	1	all-one-time
970042416	1	1	all-one-time
970042417	1	1	all-one-time
970042500	1	1	all-one-time
970042501	1	1	all-one-time
970042502	1	1	all-one-time
970042503	1	1	all-one-time
970042504	1	1	all-one-time
970042505	1	1	all-one-time
970042506	1	1	all-one-time
970042507	1	1	all-one-time
970042508	1	1	all-one-time
970042509	1	1	all-one-time
970042510	1	1	all-one-time
